Τύπος Εγκλήματος,Πλήθος
VEHICLE - STOLEN,11652
BATTERY - SIMPLE ASSAULT,7403
BURGLARY FROM VEHICLE,6286
THEFT OF IDENTITY,6265
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",5924
BURGLARY,5746
THEFT PLAIN - PETTY ($950 & UNDER),5375
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",5335
INTIMATE PARTNER - SIMPLE ASSAULT,4531
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),4106
THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),3728
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",3577
ROBBERY,3146
SHOPLIFTING - PETTY THEFT ($950 & UNDER),3058
VANDALISM - MISDEAMEANOR ($399 OR UNDER),2510
CRIMINAL THREATS - NO WEAPON DISPLAYED,1904
TRESPASSING,1901
BRANDISH WEAPON,1416
INTIMATE PARTNER - AGGRAVATED ASSAULT,1330
VIOLATION OF RESTRAINING ORDER,1194
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",825
BIKE - STOLEN,762
OTHER MISCELLANEOUS CRIME,667
VIOLATION OF COURT ORDER,660
"BUNCO, GRAND THEFT",647
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),548
ATTEMPTED ROBBERY,451
"THEFT, PERSON",444
"BURGLARY, ATTEMPTED",425
BATTERY WITH SEXUAL CONTACT,411
OTHER ASSAULT,400
"RAPE, FORCIBLE",391
VEHICLE - ATTEMPT STOLEN,387
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",384
PICKPOCKET,374
DOCUMENT FORGERY / STOLEN FELONY,348
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,325
"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",304
DISCHARGE FIREARMS/SHOTS FIRED,285
BATTERY POLICE (SIMPLE),279
CONTEMPT OF COURT,268
ARSON,237
EXTORTION,189
"BUNCO, PETTY THEFT",189
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),183
SHOTS FIRED AT INHABITED DWELLING,178
FAILURE TO YIELD,172
CRIMINAL HOMICIDE,158
DISTURBING THE PEACE,146
CHILD NEGLECT (SEE 300 W.I.C.),131
INDECENT EXPOSURE,128
SEXUAL PENETRATION W/FOREIGN OBJECT,117
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",114
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,114
RESISTING ARREST,114
CHILD ANNOYING (17YRS & UNDER),106
SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,97
