Year,Month,Πλήθος,Ημερομηνία
2020,1,1821,2020-01-01
2020,2,1693,2020-02-01
2020,3,1640,2020-03-01
2020,4,1613,2020-04-01
2020,5,1665,2020-05-01
2020,6,1748,2020-06-01
2020,7,1722,2020-07-01
2020,8,1646,2020-08-01
2020,9,1603,2020-09-01
2020,10,1675,2020-10-01
2020,11,1512,2020-11-01
2020,12,1561,2020-12-01
2021,1,1701,2021-01-01
2021,2,1515,2021-02-01
2021,3,1677,2021-03-01
2021,4,1588,2021-04-01
2021,5,1698,2021-05-01
2021,6,1712,2021-06-01
2021,7,1769,2021-07-01
2021,8,1846,2021-08-01
2021,9,1786,2021-09-01
2021,10,1923,2021-10-01
2021,11,1801,2021-11-01
2021,12,1774,2021-12-01
2022,1,1855,2022-01-01
2022,2,1699,2022-02-01
2022,3,1964,2022-03-01
2022,4,1922,2022-04-01
2022,5,1966,2022-05-01
2022,6,2090,2022-06-01
2022,7,1990,2022-07-01
2022,8,1983,2022-08-01
2022,9,1866,2022-09-01
2022,10,1890,2022-10-01
2022,11,1901,2022-11-01
2022,12,2051,2022-12-01
2023,1,2000,2023-01-01
2023,2,1831,2023-02-01
2023,3,1867,2023-03-01
2023,4,1952,2023-04-01
2023,5,1902,2023-05-01
2023,6,1916,2023-06-01
2023,7,1992,2023-07-01
2023,8,2029,2023-08-01
2023,9,1907,2023-09-01
2023,10,1923,2023-10-01
2023,11,2005,2023-11-01
2023,12,1995,2023-12-01
2024,1,1896,2024-01-01
2024,2,1756,2024-02-01
2024,3,1598,2024-03-01
2024,4,1326,2024-04-01
2024,5,969,2024-05-01
2024,6,854,2024-06-01
2024,7,790,2024-07-01
2024,8,830,2024-08-01
2024,9,782,2024-09-01
2024,10,806,2024-10-01
2024,11,738,2024-11-01
2024,12,439,2024-12-01
2025,1,9,2025-01-01
2025,2,14,2025-02-01
2025,3,8,2025-03-01
